服务中心名称,省份,销售地址,销售热线,链接,
浏阳华捷汽车销售服务有限公司,湖南,湖南省浏阳市花炮大道生辉汽车城,0731-83288788,http://dealer.autohome.com.cn/126005,
长沙润锦汽车销售服务有限公司,湖南,湖南省长沙市高新区麓谷汽车城D-04地块 ,0731-88168618,http://dealer.autohome.com.cn/2006460,
宁乡华捷汽车销售服务有限公司,湖南,湖南省长沙市宁乡县玉潭镇楚沩东路540号,0731-87892828,http://dealer.autohome.com.cn/2023196,
怀化市远舰鸿安汽车销售服务有限公司,湖南,怀化市鹤城区红星南路211号,0745-2865388/0745-2865818,http://dealer.autohome.com.cn/99703,
衡阳市悦丰汽车销售服务有限公司,湖南,湖南省衡阳市蒸湘区杨柳三组杨柳汽贸城二期,0734-8533000,http://dealer.autohome.com.cn/128661,
郴州市佳辉贸易有限公司,湖南,郴州市开发区南岭村委会往南120米处,0735-2175777,http://dealer.autohome.com.cn/2025844,
岳阳惠丰汽车有限公司,湖南,湖南省岳阳市经济技术开发区通海南路（又称屈原南路）,0730-8752828,http://dealer.autohome.com.cn/11985,
湘潭润锦汽车销售服务有限公司,湖南,湖南省湘潭市九华示范区湘望路12号,0731-52786666,http://dealer.autohome.com.cn/83502,
益阳华捷汽车销售服务有限公司,湖南,湖南省益阳市桃花仑东路818号,0737-3801988,http://dealer.autohome.com.cn/99676,
株洲润锦汽车销售服务有限公司,湖南,株洲市天元区株洲大道482号体育中心,0731-28668008,http://dealer.autohome.com.cn/100673,
邵阳市和昌汽车销售服务有限公司,湖南,湖南省邵阳市双清区宝庆东路120号,0739-5088098,http://dealer.autohome.com.cn/101398,
江西华捷汽车销售有限公司,江西,江西省南昌市红谷滩新区汽配大市场B区1栋,0791-83127899,http://dealer.autohome.com.cn/2005481,
宜春市瑞达汽车贸易有限公司,江西,江西省宜春市环城西路鹏晟农机大市场2栋\9栋,0795-2171111,http://dealer.autohome.com.cn/76398,
九江展名汽车贸易有限公司,江西,江西省九江市港口街城西汽车大市场,"0792-8361776/
0792-6732666",http://dealer.autohome.com.cn/83567,
景德镇辉宏汽车销售服务有限公司,江西,江西省景德镇市陶瓷工业园洪源路A001号,0798-8539111,http://dealer.autohome.com.cn/126045,
萍乡市荣腾汽车贸易有限公司,江西,江西省萍乡市经济开发区金三角国际汽车交易展示中心,0799-6788865,http://dealer.autohome.com.cn/123238,
新余市安迈汽车销售服务有限公司,江西,江西省新余市九鼎汽车大市场聚龙路819号,0790-6213777,http://dealer.autohome.com.cn/2020247,
上饶市智铭汽车销售有限公司,江西,江西省上饶市三清山大道58号,0793-6179999-8888,http://dealer.autohome.com.cn/2027804,
赣州市立信贸易有限公司,江西,赣州市客家大道181号赣州国际汽车城五号展厅7-8号,0797-5552922,http://dealer.autohome.com.cn/123833,
江西瑞风汽车有限公司,江西,江西省南昌市洪都中大道166号,0791-88529911,http://dealer.autohome.com.cn/123982,
高安市瑞钦汽车贸易有限公司,江西,江西省高安市瑞阳大道莱茵星城,0795-5777888,http://dealer.autohome.com.cn/76551,
赣州市大兴汽车贸易有限公司,江西,江西省赣州市金潭大道,0797-7389966,http://dealer.autohome.com.cn/7674,
南昌华捷汽车贸易有限公司,江西,江西省南昌市青云谱区迎宾北大道1086号,0791-85257330,http://dealer.autohome.com.cn/2019198,
鹰潭市谭氏汽车贸易有限公司,江西,江西省鹰潭市月湖区体育馆西路6号1-12号,0701-6684111,http://dealer.autohome.com.cn/99705,
萍乡市强大汽车销售有限公司,江西,江西省萍乡市320国道边安源国际汽车城,0799-6690777,http://dealer.autohome.com.cn/2021505,
九江汽车城有限公司,江西,江西省九江市庐山大道82号,0792-8589990,http://dealer.autohome.com.cn/2028270,
上饶市福铃达汽车有限公司,江西,江西省上饶市经济开发区三清山西大道1号1栋 ,0793-6025018,http://dealer.autohome.com.cn/2026923,
抚州市通永汽车贸易有限公司,江西,江西省抚州市金巢大道838号,0794-8299777,http://dealer.autohome.com.cn/2021471,
乐平市宏兴汽车销售服务有限公司,江西,江西省乐平市洎阳街道办事处大园里,0798-6788286,http://dealer.autohome.com.cn/119918,
武汉市东瑞汽车销售服务有限公司,湖北,湖北省武汉市洪山区青菱街红霞村（白沙洲大道9号）,027-88131888,http://dealer.autohome.com.cn/123990,
孝感长源汽车销售有限责任公司,湖北,孝感市孝汉大道银湖科技产业园中小企业城2号,0712-2367011,http://dealer.autohome.com.cn/99710,
十堰海友汽车贸易有限公司,湖北,湖北省十堰市张湾区红卫方山路10号,0719-8610777,http://dealer.autohome.com.cn/76263,
潜江市吉源汽车销售服务有限公司,湖北,湖北省潜江市园林办事处潜阳西路55号,0728-6290208,http://dealer.autohome.com.cn/2021440,
襄阳凯源通达汽车销售服务有限公司,湖北,湖北省襄阳市富康大道深圳工业园汽车城,0710-2575888,http://dealer.autohome.com.cn/2028260,
荆门市康储工贸有限公司,湖北,荆门市掇刀区月亮湖路国际汽车城168-1号,0724-2224666,http://dealer.autohome.com.cn/2004031,
荆州优加汽车销售服务有限公司,湖北,湖北省荆州市荆沙大道竹叶山商贸城C9-101号,0716-8515111,http://dealer.autohome.com.cn/2024211,
恩施驷马轩汽车商贸有限公司,湖北,湖北省恩施市舞阳坝街道办事处耿家坪村花果山汽车商贸城 ,0718-8027822,http://dealer.autohome.com.cn/2027107,
黄石振源汽车销售服务有限公司,湖北,湖北省黄石市黄金山开发区大棋路以南，圣明路以西B号地块,0714-8668188,http://dealer.autohome.com.cn/2016462,
黄冈市元秀汽车销售有限公司,湖北,湖北省黄冈市黄州区南湖路5队,0713-8114111,http://dealer.autohome.com.cn/102253,
天门龙腾汽车销售服务有限公司,湖北,湖北省天门市陆羽汽车城内广汽本田旁地块,0728-5333909,http://dealer.autohome.com.cn/2026349,
武汉振源汽车销售服务有限公司,湖北,武汉市江岸区（竹叶山汽车市场）建设大道科技馆路特1号,027-82917771,http://dealer.autohome.com.cn/10748,
湖北东瑞汽车有限公司,湖北,湖北省武汉市汉阳区汉阳大道汉蔡路特8号-2号,027-84888011,http://dealer.autohome.com.cn/2028327,
黄冈市康程汽车销售服务有限公司,湖北,湖北省黄冈市明珠大道108号,0713-8588222,http://dealer.autohome.com.cn/2040726,
荆门长源腾龙汽车销售服务有限公司,湖北,湖北省荆门市高新开发区迎春大道8号,0724-2492929,http://dealer.autohome.com.cn/2019956,
襄阳富黄长信汽车销售服务有限公司,湖北,湖北省襄阳市襄州区钻石大道47号,0710-3338828,http://dealer.autohome.com.cn/2028274,
孝感汇众汽车服务有限公司,湖北,湖北省孝感市孝南经济开发区状路356号 ,0712-2360088,http://dealer.autohome.com.cn/2006753,
宜昌市华晟汽车销售服务有限责任公司,湖北,湖北省宜昌市V亭区V亭大道109号,0717-6569966,http://dealer.autohome.com.cn/2029262,
恩施中安汽车贸易有限公司,湖北,湖北省恩施市金桂大道141号,0718-8989301,http://dealer.autohome.com.cn/2027107,
咸宁东瑞汽车销售服务有限公司,湖北,湖北省咸宁市银泉大道109号,0715-8878678,http://dealer.autohome.com.cn/2026384,
广西梧州市捷成汽车销售服务有限公司,广西,广西省梧州市城东镇扶典村四组龙泉冲综合楼侧边,0774-2028887,http://dealer.bitauto.com/100106403/index.html,
来宾市兆鑫汽车销售有限公司,广西,广西省来宾市天然桥路冶炼厂运输队第一排门面1-8号,0772-4852888,http://dealer.bitauto.com/100061353/index.html,
广西崇左市豪力汽车销售服务有限公司,广西,广西省崇左市江州区丽江路6号,0771-7988068,http://dealer.bitauto.com/100070362/index.html,
桂林鑫悦汽车销售服务有限公司,广西,广西灵川八里街工业园区29-2号地,0773-2668908,http://dealer.bitauto.com/100030437/index.html,
江西燕兴实业有限公司,江西,江西省南昌市迎宾中大道458号,0791-85279975,http://dealer.bitauto.com/100030439/index.html,
江西通胜汽车贸易有限公司,江西,江西省吉安市庐陵区合丰汽车城5栋2号,0796-8642688,http://dealer.bitauto.com/100050842/index.html,
江西祥通汽车贸易有限公司,江西,江西省吉安市合丰汽车城配套区7栋2号,0796-8798889,http://dealer.bitauto.com/100070364/index.html,
武汉锦瀚源汽车销售服务有限公司,湖北,湖北省武汉市汉口北大道99号汽车城W2栋国际商品交易中心（小商品城对面）,027-61909675,http://dealer.bitauto.com/100068338/index.html,
宜昌市华康工贸有限责任公司,湖北,湖北省宜昌市伍家岗区临江坪,0717-6267222,http://dealer.bitauto.com/100028353/index.html,
十堰市俊安汽车销售有限公司,湖北,湖北省十堰市十堰北国际汽车贸易城,0719-7790888,http://dealer.bitauto.com/100106474/index.html,
荆州市盛奇汽车销售服务有限公司,湖北,荆州市沙市区柳林洲汽车市场,0716-8210333,http://dealer.bitauto.com/100020497/index.html,
宜昌七环轻汽实业公司,湖北,湖北省宜昌市伍家岗区东山大道145号,0717-6446613,http://dealer.xcar.com.cn/102308/,
武汉长源龙腾汽车销售服务有限公司,湖北,湖北省武汉市江夏区金龙大街汽车公园,,http://price.pcauto.com.cn/66520/,
宁乡万里汽车销售服务有限公司,湖南,湖南省长沙市宁乡县玉潭镇楚沩东路118号,0731-87802828,,
常德华捷华翔汽车销售服务有限公司,湖南,湖南省常德市龙港路以东、常德大道以南,0736-7142666,,
合肥大步汽车贸易有限公司,安徽,安徽省合肥市经济技术开发区金寨南路十八岗,0551-63518999,http://dealer.autohome.com.cn/70573,
安徽长天汽车销售服务有限公司,安徽,安徽省合肥市蜀山区长江西路与双塘路交口北300米,0551-65876316,http://dealer.autohome.com.cn/2028253,
六安信步汽车销售服务有限公司,安徽,安徽省六安经济开发区经六路金太阳国际汽车城,0564-3358068,http://dealer.autohome.com.cn/100186,
蚌埠恒泰汽车贸易有限公司,安徽,安徽省蚌埠市迎宾大道国际汽车城北路,0552-3127711,http://dealer.autohome.com.cn/10725,
安庆市天佑汽车销售服务有限公司,安徽,安庆市大观区丁香路汽车城,0556-5059111,http://dealer.autohome.com.cn/2029474,
阜阳市永鑫汽车销售服务有限公司,安徽,安徽省阜阳市经济技术开发区汽贸物流园经六路75号,0558-2329800,http://dealer.autohome.com.cn/5521,
宿州市东泰汽车贸易有限责任公司,安徽,安徽省宿州市经济开发区西昌南路,0557-2629998,http://dealer.autohome.com.cn/107640,
芜湖昊之宇汽车销售服务有限公司,安徽,安徽省芜湖市芜宣高速北侧纬次路南端,0553-5816060,http://dealer.autohome.com.cn/128998,
黄山市长鑫汽车销售服务有限公司,安徽,黄山市徽州区与歙县交界处S215省道边（郑村）,0559-6960666,http://dealer.autohome.com.cn/123819,
马鞍山市同兴汽车销售服务有限公司,安徽,安徽省马鞍山市当涂经济开发区红旗南路西侧,0555-6681111,http://dealer.autohome.com.cn/2016388,
广德县飞宇汽车销售有限公司,安徽,安徽省宣城市广德县城北广溧路站前路交汇处,0563-6026667,http://dealer.autohome.com.cn/2018903,
宣城瑞驰汽车销售服务有限公司,安徽,安徽省宣城市经济技术开发区林海路,0563-2616313,http://dealer.autohome.com.cn/2026280,
铜陵润辉汽车销售服务有限公司,安徽,安徽省铜陵市铜都大道古圣段桥南4S店集群,0562-6812777,http://dealer.autohome.com.cn/2026403,
合肥大步天畅汽车服务有限公司,安徽,安徽省合肥市包河区包河大道与纬五路交口大步车业之家,0551-63486868,http://dealer.autohome.com.cn/7678,
阜阳市万生汽车销售有限公司,安徽,安徽省阜阳市经济开发区汽贸物流园经五路与纬五路交叉口,0558-3680888,http://dealer.autohome.com.cn/68560,
亳州兄弟汽车销售服务有限公司,安徽,安徽省亳州市工业园区杜仲路与105国道交叉口东200米路南,0558-8889898,http://dealer.autohome.com.cn/118048,
马鞍山市中兴摩托车销售有限公司,安徽,安徽省马鞍山市湖西南路汽博城10栋,0555-2168099,http://dealer.autohome.com.cn/125442,
安徽百事达汽车销售服务有限公司,安徽,安徽省六安市皖西大道,0564-7259999,http://dealer.autohome.com.cn/2028440,
蚌埠市喜洋洋汽车贸易有限公司,安徽,安徽省蚌埠市东海大道市政府西200米,0552-4116202,http://dealer.autohome.com.cn/2002681,
阜阳市畅通汽车销售服务有限公司,安徽,安徽省阜阳市颍州区阜南路四里桥628号,0558-6682999,http://dealer.autohome.com.cn/2025630,
池州市三义汽贸有限公司,安徽,安徽省池州市站前区站南路汽车集聚园,0566-2121777,http://dealer.autohome.com.cn/105394,
山东翔悦达汽车贸易有限公司,山东,山东省济南市槐荫区二环西路68号,0531-68810555,http://dealer.autohome.com.cn/10386,
德州茂达汽车贸易有限公司,山东,山东省德州市经济技术开发区东风东路大雁岛东666米路南,0534-2263111,http://dealer.autohome.com.cn/2027735,
章丘聚源达汽车贸易有限公司,山东,山东省章丘市济青路廉坡村五金建材市场内,0531-83360789,http://dealer.autohome.com.cn/99712,
聊城泰鸿达汽车贸易有限公司,山东,山东省聊城市开发区泰山路与滦河路交汇处（永润汽车城院内）,0635-5152222,http://dealer.autohome.com.cn/71175,
菏泽市金圣达汽车销售有限公司,山东,山东省菏泽市牡丹区黄河东路566号,0530―2078777,http://dealer.autohome.com.cn/85426,
济宁诚源汽车销售服务有限公司,山东,山东省济宁市任城区一零五国道金宇汽配城东门对面,0537-2331555,http://dealer.autohome.com.cn/2021946,
济宁市博华汽车销售服务有限公司,山东,山东省济宁市高新区黄屯镇立交桥西、327国道北,0537-317180,http://dealer.autohome.com.cn/2028269,
临沂长安汽车销售服务有限公司,山东,山东省临沂市双岭路与京沪高速公路交汇处东200米,0539-8562828,http://dealer.autohome.com.cn/2020249,
青岛江山汽车销售服务有限公司,山东,山东省青岛市市北区长沙路72-2号,0532-84856288,http://dealer.autohome.com.cn/10759,
青岛喜和汽车销售服务有限公司,山东,山东省青岛市即墨市烟青路61号,0532-88567876,http://dealer.autohome.com.cn/113030,
山东嘉顺汽车商贸有限公司,山东,山东省泰安市岱岳区泰东路泰山国际汽车城东首,0538-5555666,http://dealer.autohome.com.cn/15766,
新泰宝达汽车销售服务有限公司,山东,山东省泰安市新泰市迎宾路千米立井,0538-7778399,http://dealer.autohome.com.cn/2003362,
烟台鸿福汽车销售服务有限公司,山东,山东省烟台市芝罘区幸福南路西10号,0535-6012777,http://dealer.autohome.com.cn/2021506,
淄博世纪车行有限公司,山东,山东省淄博市张店区山泉路108号,0533-2986388,http://dealer.autohome.com.cn/10760,
淄博世嘉汽车销售服务有限公司,山东,山东省淄博市周村区309国道与滨博高速下路口以南,0533-6018778,http://dealer.autohome.com.cn/2002489,
东营市浩博汽车销售有限公司,山东,山东省东营市东营区北二路1199号哨头村（北二路与西五路交汇处向西800米路北）,0546-7788666,http://dealer.autohome.com.cn/128800,
寿光市安达汽车贸易有限公司,山东,山东省寿光市圣城东街菜博园东2公里路南(东宇鸿祥汽车城),0536-5559333,http://dealer.autohome.com.cn/71627,
莱芜市晨达汽车贸易有限公司,山东,山东省莱芜市莱城工业区长勺北路汽车商贸城,0634-6511666,http://dealer.autohome.com.cn/2001727,
滕州市宝宁汽车贸易有限公司,山东,山东省枣庄市滕州市龙泉南路,0632-5085999,http://dealer.autohome.com.cn/2003575,
山东省博兴县滨通汽车销售服务有限公司,山东,山东省滨州市博兴县深发物流园南首,0543-2618888,http://dealer.autohome.com.cn/128768,
滨州市正浩汽车销售服务有限公司,山东,山东省滨州市渤海五路黄河十八路北515号,0543-3125678,http://dealer.autohome.com.cn/2028266,
日照盛达汽车销售服务有限公司,山东,山东省日照市莒县陵阳镇驻地以北335省道东侧,0633-6160666,http://dealer.autohome.com.cn/2024018,
山东迈瑞时达汽车贸易有限公司,山东,济南市历下区奥体西路1号,0531-88685188,http://dealer.autohome.com.cn/67983,
山东翔悦达汽车贸易有限公司德州分公司,山东,山东省德州市经济开发区晶华路中段（新城钢结构公司院内）,0534-2750123,http://dealer.autohome.com.cn/99711,
青岛新建达汽车销售有限公司,山东,青岛市李沧区黑龙江中路308国道3178号,0532-89087008,http://dealer.autohome.com.cn/3067,
聊城万达汽车贸易有限公司,山东,聊城市开发区东昌东路东首长安铃木4S店西邻,0635-8870777,http://dealer.autohome.com.cn/67607,
山东瑞安汽车贸易有限公司,山东,山东省济南市工业北路93号,0531-67809622 ,http://dealer.autohome.com.cn/2023360/,
潍坊宝杰汽车销售有限公司,山东,山东省潍坊市潍州路519号,0536-8803567,http://dealer.autohome.com.cn/2001731,
淄博华业汽车销售有限责任公司,山东,山东省淄博市张店区中心路182甲1号,0533-3153513,http://dealer.autohome.com.cn/2727,
济宁市双安汽车销售服务有限公司,山东,山东省济宁市金宇汽配城内（转盘南200米105国道路西）,0537-7977966,http://dealer.autohome.com.cn/2028540,
梁山县金瑞达汽车销售有限公司,山东,山东省济宁市梁山县拳铺工业园华信路苗庄村北（220国道郭堂十字路口向东1.7公里路北） ,0537-3230577,http://dealer.autohome.com.cn/2021629,
临沂长华汽车销售服务有限公司,山东,山东省临沂市河东区温泉路与北京东路交汇处车管所南500米,0539-8389111,http://dealer.autohome.com.cn/2040345,
枣庄矿业集团顺通物资汽贸服务中心,山东,山东省枣庄市薛城区张范镇光明大道杨峪风景区路口东400米,0632-8265222,http://dealer.autohome.com.cn/71177,
菏泽正通汽贸有限公司,山东,山东省菏泽市开发区黄河东路800号,0530-5702011,http://dealer.autohome.com.cn/69767,
单县鑫辉汽车销售有限公司,山东,山东省菏泽市单县北环路振华汽车城,0530-2098689,http://dealer.autohome.com.cn/2001725,
威海顺成汽车销售服务有限公司,山东,山东省威海市环翠区温泉镇冶口金蚂蚁汽车广场26号,0631-5992566,http://dealer.autohome.com.cn/71166,
青岛喜泰来汽车销售服务有限公司,山东,山东省青岛市黄岛区东岳西路2188号,0532-58828521,http://dealer.autohome.com.cn/2028268,
日照市万达汽车工业销售有限公司,山东,山东省日照市开发区汽车商贸城（204国道奎山驻地）,0633-8617555、8617559,http://dealer.autohome.com.cn/13643/,
郑州德润众业汽车销售服务有限公司,河南,郑州市金水区中州大道与三全大道交叉口向北500米,0371-55655111,http://dealer.autohome.com.cn/60291,
郑州德水安业汽车销售有限公司,河南,郑州市西三环北段路西西环汽车公园,0371-53380866,http://dealer.autohome.com.cn/2028275,
濮阳市泽原汽车服务有限公司,河南,河南省濮阳市中原路东段距106国道200米路南,0393-8915920,http://dealer.autohome.com.cn/2028528,
安阳市广泽汽车贸易有限公司,河南,河南省安阳市豫北汽车城内,0372-2597597,http://dealer.autohome.com.cn/107680,
鹤壁市永兴汽车销售服务有限公司,河南,河南省鹤壁市黎阳路东段南侧,0392-2250000,http://dealer.autohome.com.cn/125468,
郑州德旺盛业汽车销售服务有限公司,河南,郑州市中州大道与迎宾路交叉口北行200米路东花园口汽车城,"0371-55339678
",http://dealer.autohome.com.cn/61215,
洛阳市天凯机电有限公司,河南,河南省洛阳市名车苑汽车广场 ,0379-63502999,http://dealer.autohome.com.cn/2006453,
南阳市安顺汽车销售服务有限公司,河南,河南省南阳市信臣西路与人民北路交叉口向西600米路南 ,0377-63878866,http://dealer.autohome.com.cn/10745,
南阳市安福汽车贸易有限公司,河南,"河南省南阳市卧龙区邓禹路与信臣东路交叉口路北（市检察院向西500米路北）
",0377-67082777,http://dealer.autohome.com.cn/2028250,
周口鑫安顺汽车销售服务有限公司,河南,河南省周口市川汇区建设路东段,0394-8359666,http://dealer.autohome.com.cn/2022212,
商丘市威隆汽车贸易有限公司,河南,河南省商丘市中原车城车管分所向西200米璐西,0370-6797111,http://dealer.autohome.com.cn/2020145,
开封博奥汽车贸易有限公司,河南,河南省开封市金明区魏都路与集英街交叉口西北角,0371-23231111,http://dealer.autohome.com.cn/70427,
周口市永达汽车贸易有限公司,河南,周口市中州路与太昊路交叉口西北角,0394-8699999,http://dealer.autohome.com.cn/102939,
平顶山市佳鑫长安汽车销售有限公司,河南,平顶山市建设路与许南路交叉口向东108米路南,0375-3869777,http://dealer.autohome.com.cn/99722,
驻马店市汇源汽车销售服务有限公司,河南,驻马店市开源大道与前进路交叉口,0396-3601888,http://dealer.autohome.com.cn/74822,
信阳宏图汽车贸易有限公司,河南,信阳市平桥区京港澳高速与312国道交汇处向西500米路北（宏图汽车城院内）,0376-3885788,http://dealer.autohome.com.cn/127278,
漯河博旭汽车贸易有限公司,河南,河南省漯河市源汇区107国道与桂江路交叉口西200米路南,0395-3382333,http://dealer.autohome.com.cn/2004465,
河南长久吉盛汽车销售服务有限公司,河南,郑州市惠济区银通路东、开元路南（河南汽车贸易中心院内）,0371-55553188,http://dealer.autohome.com.cn/70468,
郑州德盛昌业汽车销售服务有限公司,河南,河南省郑州市郑东新区经北六路与经开第八大街交叉口,0371-86580500,http://dealer.autohome.com.cn/125820,
新乡市长翔汽车贸易有限公司,河南,河南省新乡市南环路与新飞大道交汇处南环汽车广场院内,0373-5120999,http://dealer.autohome.com.cn/2017688,
三门峡长兴汽车销售服务有限公司,河南,河南省三门峡市瑞通汽车城四区三号,0398-3119777,http://dealer.autohome.com.cn/2004658,
南阳市安达汽车销售服务有限公司,河南,南阳市北京大道气象局北隔墙,0377-63878299,http://dealer.autohome.com.cn/2003531,
洛阳骏德汽车有限公司,河南,河南省洛阳市名车苑汽车广场,0379-63601161,http://dealer.autohome.com.cn/2003528,
焦作市博大伟业汽车销售有限公司,河南,焦作市塔南路旧机动车交易市场南侧,0391-3595128,http://dealer.autohome.com.cn/2021325,
商丘市威航汽车贸易有限公司,河南,河南省商丘市金桥路与民主路交汇处中原汽车城,0370-2233300,http://dealer.autohome.com.cn/80435,
开封市汇金汽车销售服务有限公司,河南,河南省开封市金明区金明大道与连霍高速交叉口向北500M路东,,http://dealer.autohome.com.cn/74653,
周口市永兴汽车销售有限公司,河南,周口市川汇区北环路东段宏源精品汽车城院内,0394-8121366,http://dealer.autohome.com.cn/2027603,
信阳鑫广盛汽车销售服务有限公司,河南,河南省信阳市312国道工业城招商中心西100米路北,0376-3391666,http://dealer.autohome.com.cn/80705,
驻马店市安盛汽车销售服务有限公司,河南,驻马店市天中山大道南段神州汽车城内（森林公园南800米路西）,0396-2322888,http://dealer.autohome.com.cn/129056,
许昌恒之业汽车销售有限公司,河南,许昌市北外环转盘向北800米路西,0374-2295555,http://dealer.autohome.com.cn/2021877,
平顶山市中财汽车销售有限公司,河南,河南省平顶山市建设路与许南路交叉口东200米路北,0375-3741111,http://dealer.autohome.com.cn/2016795,
永城市宏发汽车销售有限公司,河南,河南省永城市春雨汽车城院内,0370-6985888,http://dealer.autohome.com.cn/100199,
长垣县安达汽车销售服务有限公司,河南,河南省新乡市长垣县长垣大道中段金色阳光汽车城院内,0373-8727777,http://dealer.autohome.com.cn/120793,
巢湖市鑫鑫汽车销售服务有限公司,安徽,安徽省合肥市巢湖市经济开发区金山路与半汤路交叉口（亚夏汽车城）,0551-82369388,http://dealer.bitauto.com/100036448/index.html,
涡阳县兄弟汽车销售维修有限公司,安徽,安徽省涡阳县老子牛像西2公里路北大步汽车城,0558-7298777,http://dealer.bitauto.com/100055350/index.html,
淮北润美汽车销售有限公司,安徽,安徽省淮北市相山区寇湾汽车城骏驰路12号,0561-3111008,http://dealer.bitauto.com/100108169/index.html,
宿州市安宇汽车贸易有限责任公司,安徽,安徽省宿州市经济开发区外环南路宿州飞跃汽车城,0557-2629009,http://dealer.bitauto.com/100060964/index.html,
凤台县新姿汽车贸易有限公司,安徽,安徽省淮南市凤台县经济开发区淮凤路北侧,0554-8911886,http://dealer.bitauto.com/100060272/index.html,
滁州市建林汽车销售有限公司,安徽,安徽省滁州花园东路666号,0550-3878777,http://dealer.bitauto.com/100021100/index.html,
临沂通华汽车销售服务有限公司,山东,山东省临沂市高新区沂河路与罗七路交汇处西南角,0539-2776888,http://dealer.bitauto.com/100029635/index.html,
龙口福昌汽车销售服务有限公司,山东,山东省烟台市龙口市东城区环城北路61号,0535-8731711,http://dealer.bitauto.com/100051177/index.html,
莱州市骏德汽车销售有限公司,山东,山东省烟台市莱州市永安路街道大原家村,0535-2877088,http://dealer.bitauto.com/100070579/index.html,
威海顺驰汽车销售服务有限公司,山东,山东省威海市环翠区温泉镇金蚂蚁汽车广场6号,0631-5377766,http://dealer.bitauto.com/100040542/index.html,
高密润福汽车贸易有限公司,山东,山东省潍坊市高密市夷安大道北首,0536-2219777,http://dealer.bitauto.com/100082710/index.html,
临朐润杰汽车贸易有限公司,山东,山东省潍坊市临朐县新车管所北行500米路西（江北物流城西门对面）,0536-3337877,http://dealer.bitauto.com/100087328/index.html,
潍坊润德汽车贸易有限公司,山东,山东省潍坊市潍洲路金宝乐园北段,0536-8823136,http://dealer.bitauto.com/100081994/index.html,
山东经纬度汽车贸易有限公司,山东,山东省济南市槐荫区经十西路济西二手车交易市场南200米,0531-55705165,http://dealer.bitauto.com/100051057/index.html,
青岛喜地汽车销售服务有限公司,山东,青岛平度市李园街道办事处李子园村（柳州路以东厦门路以北）,0532-58825017,http://dealer.bitauto.com/100042833/index.html,
青岛喜安达汽车销售服务有限公司,山东,山东省青岛胶州市经济技术开发区站前大道中,0532-58828518,http://dealer.bitauto.com/100044088/index.html,
青岛喜悦汽车销售服务有限公司,山东,山东省青岛市城阳区黑龙江中路405号,0532-58828686,http://dealer.bitauto.com/100074335/index.html,
烟台鸿运汽车贸易有限公司,山东,烟台市开发区泰山路109号,0535-3975558,http://dealer.bitauto.com/100038007/index.html,
滨州腾翔汽车销售服务有限公司,山东,山东省滨州市渤海24路与长江1路交叉口往南100米路西,0543-3095222,http://dealer.bitauto.com/100040926/index.html,
泰安市嘉益汽车商贸有限公司,山东,山东省泰安市高新技术开发区长城路南段,0538-5075999,http://dealer.bitauto.com/100042290/index.html,
海阳市海佳亚飞汽车销售有限公司,山东,山东省海阳市海天路东首,0535-3293999,http://dealer.bitauto.com/100087826/index.html,
许昌恒业汽车销售有限公司,河南,河南省许昌市南外环梨园转盘东50米路北,0374-5185555,http://dealer.bitauto.com/100026469/index.html,
偃师市众鑫汽车销售有限公司,河南,河南省洛阳市偃师市310国道与高速引线交叉口,0379-69666185,http://dealer.bitauto.com/100060175/index.html,
