服务中心名称,省份,销售地址,销售热线,链接,
商丘市威达汽车贸易有限公司,河南,河南省商丘市梁园区民主西路与金桥路交叉口向东500米路北（中原汽车城）,0370-2299889,http://dealer.bitauto.com/100034818/index.html,
安阳市广汇汽车贸易有限公司,河南,河南省安阳市人民大道与光明路交叉口向北200米,0372-3773937,http://dealer.bitauto.com/100086140/index.html,
济源市亚飞贸易有限公司,河南,河南省济源市新济路南水屯段物资市场5号院,0391-6271555,http://dealer.bitauto.com/100060515/index.html,
安庆市爵圣汽车贸易有限公司,安徽,安庆长江大桥综合经济开发区英德利国际汽车城6号钢构,0556-5215555,http://dealer.xcar.com.cn/51860/,
山东鸿运汽车交易广场有限公司,山东,山东省烟台市芝罘区机场路158号,0535-6011000,http://dealer.xcar.com.cn/104048/,
肥城市福安汽车商贸有限公司,山东,山东省泰安市肥城市临安路亿丰汽贸城东3栋,0538-6334888,http://price.pcauto.com.cn/84197/,
安庆汉斯汽车销售服务有限责任公司,安徽,安徽省安庆市宜秀区英德利国际汽车城3期5号楼,0556-5228269,,
邹城市迪升汽车销售有限公司,山东,山东省济宁市邹城市国宏大道6369号,0537-5222988,,
郯城远通汽车销售服务有限公司,山东,山东省临沂市郯城县南外环灯塔东50米路南,0539-2056032,,
平邑远通汽车销售服务有限公司,山东,山东省临沂市平邑县327国道南广电局对面,0539-2032098,,
山东顺行汽车销售服务有限公司,山东,山东省威海市文登市世纪大道与珠海路交叉口,0631-8080000,,
青岛喜仁汽车销售服务有限公司,山东,山东省青岛市平度市西外环青岛路与柳州路交界,0532-58828308,,
临清五州汽车销售服务有限公司,山东,聊城临清市南环路东首路南,0635-2558666,,
东营市泰和汽车销售有限责任公司,山东,东营市西三路与南一路交汇处西200米路南,0546-8719777,,
邹平精诚汽车销售服务有限公司,山东,山东省滨州市邹平县邹韩路中段马庄桥南100米,0543-4298888,,
山东远通汽车贸易集团有限公司沂南分公司,山东,山东省临沂市沂南县张南路中段,0539-3806999,,
淄博世纪佳和汽车销售服务有限公司,山东,山东省淄博市桓台县柳泉北路1877号天齐汽车博览园,,,
河南天道汽车贸易服务有限公司,河南,河南省郑州市管城区商都路与圃田西路交叉口,,,
郑州玖茂隆顺实业有限公司,河南,河南省郑州市荥阳市乔楼镇孙寨北万山南路西侧,,,
新乡市长宇汽车贸易有限公司,河南,河南省新乡市南环路与和平大道交叉口西300米路南,0373-2031000,,
偃师市众鑫汽车销售有限公司 ,河南,河南省洛阳市洛龙新区牡丹大道和杜预街交汇处,,,
洛阳市长安汽车销售有限公司,河南,河南省焦作市解放区丰收路与孟州路交叉口,,,
新密德鑫祥业汽车销售服务有限公司,河南,河南省郑州市新密市嵩山大道东段赵坡新村东1000米,0371-69216688,,
濮阳市鑫泽原汽车销售服务有限公司,河南,河南省濮阳市华龙区中原路东段路南,0393-5381886,,
邓州市安顺汽车销售服务有限公司,河南,河南省南阳市邓州市七里店工业园区张楼乡大庄村207国道南侧,0377-62721688,,
中山市顺肇汽车贸易有限公司,广东,广东省中山市西区沙朗彩虹大道149号（顺肇汽贸内）,0760-88667731,http://dealer.autohome.com.cn/126152,
中山市利盈汽车销售服务有限公司,广东,广东省中山市小榄镇菊城大道九洲LED城马路正对面（原力大橡筋厂）,0760-89829066,http://dealer.autohome.com.cn/2017707,
云浮市美利汽车销售服务有限公司,广东,广东省云浮市云城区324国道罗沙稔塘广汽丰田4S店对面,0766-8325088,http://dealer.autohome.com.cn/2028726,
深圳市顺鑫隆实业发展有限公司,广东,深圳市福田区上梅林中康北路通大汽车广场,0755-82269363,http://dealer.autohome.com.cn/1834,
深圳市瑞华汽车贸易有限公司,广东,广东省深圳市福田区红荔西路联合华鹏汽车广场B2-2A,0755-83052264,http://dealer.autohome.com.cn/2040251,
东莞市志诚志通汽车服务有限公司,广东,广东省东莞市寮步镇横坑管理区莞樟公路与环城路交界处志诚车行,0769-83306633,http://dealer.autohome.com.cn/70698,
东莞市东锐汽车销售服务有限公司,广东,广东省东莞市南城区莞太路白马路段北侧,0769-22808883,http://dealer.autohome.com.cn/2028744,
东莞市永天汽车销售服务有限公司,广东,广东省东莞市塘厦镇林村汽车城（东风本田对面）,0769-87902656,http://dealer.autohome.com.cn/2039693,
佛山市广物粤安汽车销售服务有限公司,广东,广东省佛山市南海区里水镇佛山一环水口路出口东侧200米,0757-85601906,http://dealer.autohome.com.cn/2030664,
佛山市长安隆汽车贸易有限公司,广东,佛山市国际车城内石湾雾岗路河南工业大道F座1-13铺及侧道铺面,0757-83831318,http://dealer.autohome.com.cn/82685,
佛山市顺德区东之安汽车销售服务有限公司,广东,佛山市顺德区大良街道新蚵范谓鸢褡酆鲜谐∧10、11号,0757-22288800,http://dealer.autohome.com.cn/2021420,
汕头市茂华汽车销售服务有限公司,广东,广东汕头市泰山路与黄河路交界处东南角,0754-88868051,http://dealer.autohome.com.cn/85820,
肇庆市美利汽车销售有限公司,广东,广东省肇庆市端州区东岗东路南侧126号,0758-2728822,http://dealer.autohome.com.cn/64699,
广州粤辰汽车有限公司,广东,广东省广州市天河区广汕一路297号,020―38087333,http://dealer.autohome.com.cn/2001477,
广州市明@昕商贸有限公司,广东,广州市番禺区番禺大道北677-687号,020-34808333,http://dealer.autohome.com.cn/2019497,
广州市鑫@盛汽车销售服务有限公司,广东,广东省广州市增城新塘镇广深大道西290号,020-82882260,http://dealer.autohome.com.cn/2028939,
广州启昊城汽车销售服务有限公司,广东,广东省广州市花都区建设北路232号,020-86889960,http://dealer.autohome.com.cn/2028158,
江门市天泰汽车销售服务有限公司,广东,广东省江门市新会区新会大道东11号,0750-6166222,http://dealer.autohome.com.cn/2003725,
湛江合华汽车贸易有限公司,广东,广东省湛江市区赤坎区海田路108号,0759-3132777,http://dealer.autohome.com.cn/2005033,
梅州市新天地汽车贸易有限公司,广东,广东省梅州市西郊黄塘村梅州市汽车贸易市场D区,0753-2341198,http://dealer.autohome.com.cn/13893,
揭阳市远志汽车销售有限公司,广东,广东省揭阳市榕城区环市北路与莲花大道交界处,0663-8263333,http://dealer.autohome.com.cn/2017710,
茂名市腾跃汽车有限公司,广东,广东省茂名市茂南开发区茂南大道一路83号五洲汽车城内中厅,0668-3385906,http://dealer.autohome.com.cn/2028255,
韶关市明洋广安汽车销售服务有限公司,广东,广东省韶关市韶南大道八公里处商铺,0751-8838833,http://dealer.autohome.com.cn/2028252,
珠海市恒越汽车贸易有限公司,广东,珠海市香洲区华威路105号,0756-8613111,http://dealer.autohome.com.cn/2023547,
泉州市铠驰汽车有限责任公司,福建,福建省泉州市晋江市紫帽镇湖盘村,0595-22106888,http://dealer.autohome.com.cn/2020773,
厦门运生贸易有限公司,福建,福建省厦门市湖里区枋钟路1919号,0592-5735000,http://dealer.autohome.com.cn/2029805,
厦门N保实业有限公司,福建,福建省厦门市同安区同集北路300号,0592-7022656,http://dealer.autohome.com.cn/2028189,
福州雄峰汽车维修服务有限公司,福建,福建省福州市仓山区葫芦镇名星汽车城内,0591-87331655,http://dealer.autohome.com.cn/15937,
漳州市锦绣贸易有限公司,福建,漳州市迎宾大道与龙翔北路交汇路口,0596-2109156,http://dealer.autohome.com.cn/2018968,
莆田市兴龙汽车销售服务有限公司,福建,莆田市涵江区埭里村324国道旁 ,0594-6082222,http://dealer.autohome.com.cn/2017125,
三明市长元汽车销售服务有限公司,福建,福建省三明市新市北路闽中汽车城,0598-8513888,http://dealer.autohome.com.cn/2022474,
宁德昌鸿汽车销售有限公司,福建,福建省宁德市蕉城南路88号,0593-2881888,http://dealer.autohome.com.cn/2021364,
邵武市龙祥汽车贸易有限公司,福建,福建省南平市西芹镇水溪口交通枢纽中心,0599-8816663,http://dealer.autohome.com.cn/2023743,
海南威信汽车销售服务有限公司,海南,海南省海口市南海大道141号,0898-36699888,http://dealer.autohome.com.cn/99684,
三亚丰正华实业有限公司,海南,三亚市迎宾路海防营汽车城,0898-88565797,http://dealer.autohome.com.cn/2020130,
海南合群汽车销售有限公司,海南,海口市秀英区南海大道与永万路交界处往椰海大道方向150米右拐（药谷九号路）,0898-68653118,http://dealer.autohome.com.cn/2017114,
河源市裕祥隆汽车销售有限公司,广东,广东省河源市河源大道桂山路口,0762-3837191,http://dealer.autohome.com.cn/65381,
中山市中盈汽车销售服务有限公司,广东,广东省中山市西区彩虹大道89号（沙朗市场正对面）,0760-88550266,http://dealer.autohome.com.cn/121432,
深圳市裕祥达贸易有限公司,广东,广东省深圳市龙岗区南通道南联社区植物园路144号百世汽车城四栋厂房B座铺,0755-84320301,http://dealer.autohome.com.cn/124027,
阳江市长安行汽车销售有限公司,广东,广东阳江市江城区高凉路与新江南路交界处,0662-3506888,http://dealer.autohome.com.cn/2028519,
惠州市裕祥隆汽车销售有限公司,广东,惠州市江北惠搏沿江路金山汽车城B1商铺,0752-2852171,http://dealer.autohome.com.cn/99654,
深圳市裕祥隆实业发展有限公司,广东,深圳市宝安区沙井街道后亭社区第二工业区56号长安大厦1楼,0755-88218480,http://dealer.autohome.com.cn/2004841,
东莞市森宝汽车贸易有限公司,广东,广东省东莞市寮步国际汽车城C-03-01号地块,0769-83525288,http://dealer.autohome.com.cn/129122,
东莞市永翔汽车销售服务有限公司,广东,东莞市南城区莞太大道周溪路段一号,0769-22882596,http://dealer.autohome.com.cn/2026184,
潮州市潮安区茂昌贸易有限公司,广东,广东省潮安县彩塘镇仙乐一村新潮汕公路西侧,0768-5225580,http://dealer.autohome.com.cn/99673,
广州市明煜商贸发展有限公司,广东,广东省广州市白云区广从快速路边城门河货运市场E栋,4008626339,http://dealer.autohome.com.cn/63098,
广东东瑞汽车服务有限公司,广东,广州市荔湾区芳村龙溪大道沙埠488号,020-81681666,http://dealer.autohome.com.cn/2020063,
广东华美易车投资有限公司,广东,广东省汕头市金平区潮汕路69号,0754-88108119,http://dealer.autohome.com.cn/67382,
佛山市顺德亚飞汽车销售有限公司,广东,佛山市顺德区大良广珠公路新松路段,0757-22688280,http://dealer.autohome.com.cn/110761,
中山市顺亚汽车销售有限公司,广东,广东省中山市火炬开发区江陵西路26号（岭峡驾校旁）,0760-89937773,http://dealer.autohome.com.cn/2021748,
揭阳市茂华汽车贸易有限公司,广东,揭阳市揭东区206国道港美村大门对面,0663-3199899,http://dealer.autohome.com.cn/10720,
湛江市驰骏汽车销售服务有限公司,广东,湛江市赤坎区东盛路7号海田国际车城内S24号,0759-3366560,http://dealer.autohome.com.cn/100200,
江门市美利汽车销售服务有限公司,广东,广东省江门市新会区会城冈州大道东68号,0750-6663616,http://dealer.autohome.com.cn/126714,
福州长安汽车销售有限公司,福建,福建省福州市仓山区城门镇龙江村竹楼工业区188号,0591-87242108,http://dealer.autohome.com.cn/15322,
泉州市民发汽车发展有限公司,福建,福建省泉州市鲤城区火炬工业区对面,0595-22350096,http://dealer.autohome.com.cn/63044,
晋江市民发汽车销售有限公司,福建,晋江市罗山镇缺塘村和平南路169号-19号,0595-85853555,http://dealer.autohome.com.cn/2005377,
海南丰众华长安汽车销售有限公司,海南,海南省海口市南海大道115号（福德汽车城内）,0898-66815005,http://dealer.autohome.com.cn/2019572,
海口威信实业有限公司,海南,海南省海口市南海大道141号,0898-36699888,http://dealer.autohome.com.cn/99684,
潮州茂庞汽车贸易有限公司,广东,广东省潮州市潮安县彩塘镇仙乐一村新潮汕公路大寨车站西侧,400-9198616,http://dealer.bitauto.com/100049507/index.html,
阳江市博驰汽车有限公司,广东,广东省阳江市金山路南侧（二运站往东600米）,0662-3411222,http://dealer.bitauto.com/100060293/index.html,
泉州锦辉贸易有限公司,福建,泉州市鲤城区南环路1689号长安汽车,0595-22352668,http://dealer.bitauto.com/100044022/index.html,
惠州市裕惠隆汽车销售有限公司,广东,惠州市惠南大道3栋数码工业园路口,0752-5337228,http://dealer.bitauto.com/100069983/index.html,
韶关市长安汽车销售有限公司,广东,广东省韶关市南郊四公里亿华汽车城内,0751-8283915,http://dealer.bitauto.com/100037384/index.html,
茂名市长安汽车销售有限公司,广东,茂名市高水公路南香路段京粤汽车城内,0668-2285575,http://dealer.bitauto.com/100020977/index.html,
珠海市兴利达汽车销售服务有限公司,广东,珠海市香洲区前山上冲国际名车城华宇路111号,0756-8589338,http://dealer.bitauto.com/100048039/index.html,
佛山市禅通汽车贸易有限公司,广东,南海区桂城街叠北社区村头三丫堂前(修改佛山市南海区文华北路4号）,0757-86258880,http://dealer.bitauto.com/100018231/index.html,
漳州市锦煌贸易有限公司,福建,漳州市迎宾大道吉马国际汽车城6A（7-9）,0596-2109176,http://dealer.bitauto.com/100036195/index.html,
清远市盛安汽车销售服务有限公司,广东,广东省清远市新城人民四路38号中汽南方汽车城内,0763-3253666,http://dealer.bitauto.com/100089040/index.html,
汕尾东润汽车有限公司,广东,汕尾市红草埔边海尾公路18公里南,,,
福建龙迪鑫汽车销售服务有限公司,福建,福建省龙岩市新罗区龙门镇物流园306号,,,
佛山市益田汽车有限公司,广东,广东省佛山市禅城区佛山一环与吉利大道交叉口西100米,,,
肇庆市宏利汽车销售服务有限公司,广东,肇庆市端州区肇庆大道肇庆学院往东150米,0758-2758822,,
厦门金汇海汽车服务有限公司,福建,福建省厦门市湖里区悦华路38-40号一层西北侧,0592-5688800,,
福建省比比汽车贸易有限公司,福建,泉州市鲤城区高新技术电子产业园区南环路934号,0595-29886999,,
陕西省汽车贸易公司,陕西,陕西省西安市天台南路006号（和平村十字向北200米路西）,029-89306710,http://dealer.autohome.com.cn/10770,
陕西天禾贸易有限公司,陕西,陕西省西安市沣渭区西宝疏导线52号,029-89114780,http://dealer.autohome.com.cn/10769,
渭南始源汽车服务有限责任公司,陕西,陕西省渭南市临渭区四马路中段（新宇苑A区9号商住楼）,0913-2023123,http://dealer.autohome.com.cn/99738,
安康禾晨贸易有限公司,陕西,陕西省安康市高新区316国道旁安康汽车城,0915-3359966,http://dealer.autohome.com.cn/2026527,
陕西德达汽车服务有限公司,陕西,陕西省渭南市高新区东风大街西段北侧,0913-2556888/4008689421,http://dealer.autohome.com.cn/2028264,
汉中市长安汽车销售有限公司,陕西,陕西省汉中市汉台区宗营镇韩塘村,0916-8198268,http://dealer.autohome.com.cn/2001598,
宝鸡市长安汽车销售有限责任公司,陕西,宝鸡市金台区陈仓大道新汉飞汽车城,0917-3437898,http://dealer.autohome.com.cn/14760,
宝鸡市悦通汽车贸易有限公司 ,陕西,陕西省宝鸡市渭滨区高新12路高新大道向东200米（长安福特4S店南邻）,0917-2665656,http://dealer.autohome.com.cn/2021616,
陕西福信汽车贸易有限公司,陕西,陕西省西安市未央区六村堡西三环边,029-89112999,http://dealer.autohome.com.cn/2026898,
延安长安汽车销售有限公司,陕西,陕西省延安市宝塔区柳林镇柳树巷延运加油站正对面（高坡桥捌弯处）,0911-2860610,http://dealer.autohome.com.cn/14437,
铜川市新区国伟汽车销售有限公司,陕西,陕西省铜川市新区长虹南路源康汽车城,0919-3159159,http://dealer.autohome.com.cn/2016421,
甘肃民通汽车维修服务有限公司,甘肃,甘肃省兰州市城关区北滨河路上徐家湾119号,0931-8321811/8321899,http://dealer.autohome.com.cn/81355,
张掖市宇通农机汽贸有限责任公司,甘肃,甘肃省张掖市下安村车管所斜对面张掖宇通汽车城,0936-8684088,http://dealer.autohome.com.cn/99706,
庆阳市西峰区金松汽车销售有限公司,甘肃,甘肃省庆阳市西峰区西环路北段东侧农资商城内,0934-6666188,http://dealer.autohome.com.cn/124821,
金昌市天汇宏通汽车销售有限公司 ,甘肃,甘肃省金昌市金川区泰安路25号,0935-8829333,http://dealer.autohome.com.cn/2028254,
宁夏瑞静汽车销售服务有限公司,宁夏,宁夏银川市清和北街1039号国际汽车城,0951-5686149,http://dealer.autohome.com.cn/2020868,
固原翔之星汽车销售服务有限公司,宁夏,宁夏省固原市三里铺家道汽车城内,0954-2930169,http://dealer.autohome.com.cn/2020790,
石嘴山恒信长盛汽车销售服务有限公司,宁夏,宁夏石嘴山市大武口区西环路旁恒信汽车市场,0952-4699666,http://dealer.autohome.com.cn/2027498,
陕西盛秦汽车销售服务有限公司,陕西,陕西省咸阳市秦都区双照镇北上召十字汽车产业园,029-33129911/33129922,http://dealer.autohome.com.cn/122497,
陕西长盛汽车销售服务有限公司,陕西,陕西省延安市宝塔区南二十里铺（尚家沟）延安金地葵花汽车城,0911-3333309,http://dealer.autohome.com.cn/100196,
陕西赛豪汽车服务有限公司,陕西,陕西省西安市朱宏路中段新北城市场南区2号,029-89607001,http://dealer.autohome.com.cn/125610,
陕西通盈汽车贸易有限公司,陕西,陕西省西安市未央区三桥西部车城内西门检测站对面,029-62861955,http://dealer.autohome.com.cn/2017713,
汉中海裕达汽车有限责任公司,陕西,陕西省汉中市经济开发区北区汉宝路15号,0916-2780888,http://dealer.autohome.com.cn/73160,
榆林市润德汽车销售服务有限公司,陕西,陕西省榆林市经济开发区草海则电厂路热电厂北侧,0912-3519555,http://dealer.autohome.com.cn/2027722,
中车集团兰州汽车工业有限公司,甘肃,甘肃省兰州市城关区东岗东路1068号（7437工厂院内）,0931-8491167,http://dealer.autohome.com.cn/10013,
兰州永佳汽车销售服务有限公司,甘肃,甘肃省兰州市七里河区南滨河中路1155号,0931-2583355,http://dealer.autohome.com.cn/2003418,
张掖市吉元汽贸有限公司,甘肃,甘肃省张掖市甘州区上秦镇李家湾村,0936-8588027,http://dealer.autohome.com.cn/2018882,
白银恒信长盛汽车销售服务有限公司,甘肃,甘肃省白银市白银区恒信大道与西环路交汇处,0943-8317888,http://dealer.autohome.com.cn/2027639,
庆阳金长安汽车销售有限公司,甘肃,甘肃省庆阳市西峰区庆化大道北段,0934-8688006,http://dealer.autohome.com.cn/2023501,
贺兰捷联汽车销售服务有限公司,宁夏,宁夏银川市德胜工业园区德成东路2号,0951-8956549,http://dealer.autohome.com.cn/65286,
吴忠市翔之星汽车销售服务有限公司,宁夏,宁夏省吴忠市利通区东塔工业园区国际汽车城,0953-2225819,http://dealer.autohome.com.cn/2003512,
宁夏翔之星汽车销售服务有限公司,宁夏,宁夏银川市贺兰县德胜工业园区正源北街延伸段,0951-8539606,http://dealer.autohome.com.cn/2023203,
天水新长安汽车销售有限公司,甘肃,甘肃省天水市麦积区花牛镇曹家埂村天水建工机械市场内,0938-2081155,http://dealer.autohome.com.cn/112701,
山西世纪鼎慧贸易有限公司,山西,山西省运城市盐湖区机场大道诺维兰汽车公园内,0359-2585666,http://dealer.autohome.com.cn/2028265,
运城市瑞联汽车销售服务有限公司,山西,山西省运城市盐湖工业园区南风大道3号,0359-8713601,http://dealer.autohome.com.cn/99679,
山西燕长风汽车贸易有限公司,山西,山西省太原市小店区太榆路15号迎宾桥南侧30米,0351-8728868,http://dealer.autohome.com.cn/85300,
山西昌安达汽车销售服务有限公司,山西,山西省太原市万柏林区新晋祠路110号,0351-6552188/8334788,http://dealer.autohome.com.cn/128509,
吕梁顺达汽车贸易有限公司,山西,山西省吕梁市离石区交口街道办乔家塔村汽贸园内,0358-8357977,http://dealer.autohome.com.cn/100189,
晋中祥圣物贸有限公司,山西,山西省晋中市榆次区汇通北路龙湖桥北300米路西,0354-2537888,http://dealer.autohome.com.cn/120011,
晋城市宏达实业有限公司,山西,山西省晋城市城区中原街661号,0356-8886996,http://dealer.autohome.com.cn/99688,
山西诺维兰集团河津瑞龙汽车销售有限公司,山西,山西省运城市河津市永兴路东段,0359-8715750,http://dealer.autohome.com.cn/2028802,
太原市诺维兰汽车贸易有限公司,山西,小店区汾东北路55号（滨河东路小店出入口南100米路西）,0351-7990600,http://dealer.autohome.com.cn/61694,
临汾市卡乐仕汽车销售服务有限公司,山西,山西省临汾市尧都区尧庙汽车站阿托物流,0357-3940899,http://dealer.autohome.com.cn/99683,
山西省长治市飞路汽车贸易有限公司,山西,山西省长治市太行北路圆通奥迪4S店北100米,0355-6016033,http://dealer.autohome.com.cn/71528,
阳泉香山金鑫汽车销售有限公司,山西,山西省阳泉市郊区李荫路黄沙岩段,0353-2565202,http://dealer.autohome.com.cn/99631,
晋城市振方商贸有限公司,山西,山西省晋城市中原西街705号,0356-6962663,http://dealer.autohome.com.cn/124051,
山西昌安通汽车销售有限公司,山西,山西省太原市太榆路86号,0351-7061618,http://dealer.autohome.com.cn/2023461,
山西祥瑜汽车销售服务有限公司,山西,山西省晋中市榆次区汇通北路鸣李段汽贸园,0354-3951222,http://dealer.autohome.com.cn/2019033,
陕西锦鑫融汽车销售服务有限公司,陕西,陕西省商洛市商州区赵湾村大山汽车城,0914-2035555,http://dealer.bitauto.com/100073431/index.html,
酒泉安联汽车销售服务有限公司,甘肃,甘肃省酒泉市肃州区西郊工业园区纬一路北侧,0937-2888028,http://dealer.bitauto.com/100036363/index.html,
定西市红安汽车贸易有限公司,甘肃,甘肃省定西市安定区南川开发区（南川加油站向南600米）,0932-8689859,http://dealer.bitauto.com/100046313/index.html,
武威银迪汽贸有限公司,甘肃,甘肃省武威市盘旋路向西200米,0935-2588222,http://dealer.bitauto.com/100075641/index.html,
陇南顺达汽车销售有限公司,甘肃,甘肃省陇南市武都区吉石坝,0939-8890689,http://dealer.bitauto.com/100089077/index.html,
平凉市金马汽车销售服务有限公司,甘肃,甘肃省平凉市崆峒区八里桥八里村,0933-8889996,http://dealer.bitauto.com/100064176/index.html,
天水嘉德汽车销售服务有限公司,甘肃,甘肃省天水市麦积区华世汽车城东风风行店隔壁,0938-2821111,http://dealer.bitauto.com/100117391/index.html,
平凉嘉益汽车销售服务有限公司,甘肃,甘肃省平凉市崆峒区仁河汽配城东侧200米,0933-8888099,http://dealer.bitauto.com/100058345/index.html,
武威安驰腾飞汽车销售服务有限公司,甘肃,甘肃省武威市凉州区天马大道中段财发汽车城内,0935-6100678,http://dealer.bitauto.com/100084644/index.html,
甘肃润丰汽车销售服务有限公司,甘肃,甘肃省白银市白银区王岘西路37号,0943-8302999,http://dealer.bitauto.com/100057164/index.html,
侯马市风华汽车销售服务有限公司,山西,山西省侯马市新田东路亚欧桥市场A区2号楼一层北侧,0357-4161609,http://dealer.bitauto.com/100069083/index.html,
长治市飞路通达汽车销售有限公司,山西,山西省长治市城区西二环路2 号(北寨汽车园),0355-2082419,http://dealer.bitauto.com/100035130/index.html,
山西省忻州汽车工业贸易有限公司,山西,山西省忻州市开发区二十里铺汽车城,0350-3399102,http://dealer.bitauto.com/100028124/index.html,
运城市通达汽车销售服务有限公司,山西,运城市经济技术开发区大运路北,0359-2586567,http://dealer.bitauto.com/100030451/index.html,
朔州市义诚信商贸有限公司,山西,山西省朔州市大运路北环秋寺院村南,0349-8800098,http://dealer.bitauto.com/100076096/index.html,
临汾瑞东汽车销售有限公司,山西,山西省临汾市高河桥南50米,0357-2882688,http://dealer.bitauto.com/100102927/index.html,
大同市辰风汽车贸易有限责任公司,山西,山西省大同市南郊区十里河西延伸段（庞大汽车文化广场 2号店）号,0352-2017666,http://dealer.xcar.com.cn/111746/      ,
咸阳福信汽车贸易有限公司,陕西,陕西省咸阳市北上召汽车产业园,,,
宝鸡市长安汽车销售有限责任公司高新轿车店,陕西,陕西省宝鸡市高新13路华城汽车产业园,0917-2758555,,
甘肃山城汽车销售有限公司,甘肃,甘肃省临夏回族自治州临夏市滨河南路,0930-6665877,,
大同市智玖汽车服务有限公司,山西,山西省大同市开发区恒安大街31号,0352-6095333,,
重庆丰尚汽车销售有限公司,重庆,重庆市北部新区金渝大道99号附27号汽博中心C区,023-67880202,http://dealer.autohome.com.cn/10728,
重庆骐兴汽车销售有限公司,重庆,重庆市南川区东胜亿联建材汽车城,023-71690999,http://dealer.autohome.com.cn/2028258,
云南万友汽车销售服务有限公司大理分公司,云南,云南省大理市凤仪镇千户营村丰赢汽车城内,0872-3157127（15750240725)(移动座机）,http://dealer.autohome.com.cn/99685,
重庆翔嘉汽车销售服务有限公司万州分公司,重庆,重庆市万州区龙都大道390号（万州国际汽车机电贸易城）,023-61018996,http://dealer.autohome.com.cn/2028846,
成都万友翔宇汽车销售服务有限公司,四川,成都市火车南站西路1699号A区（石羊场客运中心站斜对面）,028-85111991,http://dealer.autohome.com.cn/10764,
成都万友翔宇汽车销售服务有限公司泸州分公司,四川,四川省泸州市龙马潭区希望大道88号,0830-2299333,http://dealer.autohome.com.cn/119006,
四川通海汽车销售有限责任公司,四川,成都市青羊区日月大道一队933号,028-87465656,http://dealer.autohome.com.cn/82887,
成都捷好佳车业有限公司,四川,成都市双流县西南航空港经济开发区空港四路1609号,028-85887111,http://dealer.autohome.com.cn/2021609,
绵阳中驰车业有限责任公司,四川,绵阳市高新区永兴镇绵兴中路257号,0816-2606111,http://dealer.autohome.com.cn/6217,
南充明云掀新车业有限公司,四川,南充市高坪区机场大道东顺路68号,0817-2668888,http://dealer.autohome.com.cn/99674,
三台安驰汽车销售服务有限公司,四川,四川省绵阳市三台县乐安镇福利村4号地,0816-5992888,http://dealer.autohome.com.cn/2003503,
重庆万友都成汽车销售服务有限公司,重庆,重庆市万州区沙龙路三段1988号,023-85725111,http://dealer.autohome.com.cn/2016179,
重庆万友行健汽车销售服务有限公司,重庆,重庆市渝中区大溪沟嘉滨路246号,023-63605050,http://dealer.autohome.com.cn/60123,
重庆万友经济发展有限责任公司合川分公司,重庆,重庆市合川区工业园区高阳村3社,023-64291166,http://dealer.autohome.com.cn/2003504,
重庆万友龙骏汽车销售服务有限公司,重庆,重庆市黔江区高速路册山收费站出口前50米处,023-79339372,http://dealer.autohome.com.cn/2028498,
重庆骏德艾普汽车科技股份有限公司,重庆,重庆市渝北区红石路266号,023-86078800,http://dealer.autohome.com.cn/10727,
重庆骏德辰宇汽车销售有限公司,重庆,重庆市潼南县创来大道重庆辰宇汽车园内,023-44416888,http://dealer.autohome.com.cn/2028259,
重庆鹰华汽车销售服务有限公司,重庆,重庆市九龙坡区龙泉路水碾村8号 ,023-86166888,http://dealer.autohome.com.cn/126219,
秀山盛达汽车销售有限公司,重庆,重庆市秀山县中和街道物流园区武陵汽博中心A4-3房,023-87980888,http://dealer.autohome.com.cn/2003540,
重庆万友经济发展有限责任公司开县分公司,重庆,重庆市开县开州大道西段,023-52970666,http://dealer.autohome.com.cn/126484,
重庆聚福汽车销售服务有限责任公司,重庆,重庆市壁山县壁青北路794号,023-64317555,http://dealer.autohome.com.cn/2016476,
重庆车谷汽车销售有限公司,重庆,重庆市巴南区渝南大道大山村轻轨站附属建筑楼一层,023-62338899,http://dealer.autohome.com.cn/2016575,
云南万友汽车销售服务有限公司,云南,云南省昆明市高新区科高小屯国际汽车城M2-4号,0871-68316866,http://dealer.autohome.com.cn/2023389,
